ID;NAME;ORGANISATION;BERUF;PSEUDONYM;ANMERKUNGEN;GND;Geburtsdatum;Sterbedatum
101;Bandemer, Susanne von;False;Text;;;;1751;1828
102;Baquoy, Pierre Charles;False;Graphik;;;;1759;1829
103;Bar, Clémentine de;False;Graphik;;;;1807;1856
104;Barabás, Miklos;False;Graphik;;;;1810;1898
105;Barach, Moritz;False;Text;Ludwig Märzroth;;;1818;1888
106;Barfus, Paul;False;Graphik;;;;1823;1895
107;Bärmann, Georg Nikolaus;False;Text;;;;1785;1850
108;Barnekow, Gustav Friedrich Wilhelm;False;Text;;;;1779;1838
109;Barth, Franz Xaver;False;Graphik;;;;1821;1894
110;Barth, Friedrich;False;Text;"Karl Barbarina; Harding";;;1794;1833
111;Barth, Gustav;False;Musik;;;;1812;1897
112;Barth, Karl;False;Graphik u. Text;;;;1787;1853
113;Barth, Karl bearb. Rückert, Friedrich;False;Text;;;;;
114;Barthel, Friedrich;False;Graphik;;;;1775;1846
115;Barthelmess, Nikolaus;False;Graphik;;;;1829;1889
116;Barthold, Friedrich Wilhelm;False;Text;;;;1799;1858
117;Bartolommeo, Fra;False;Graphik;;;;1472;1517
118;Bartolozzi, Francesco;False;Graphik;;;;1727;1815
119;Bartsch, Gustav;False;Graphik;;;;1821;1906
120;Bartsch, Johann Leopold Gustav;False;Text;;;;1797;1840
121;Bassano (da Ponte), Giacomo;False;Graphik;;;;1510;1592
122;Batoni, Pompeo Girolamo;False;Graphik;;;;1708;1787
123;Batsányi geb. Baumberg, Gabriele von;False;Text;;;;1775;1839
124;Bäuerle, Adolf Johann;False;Text;;;;1786;1859
125;Bauernfeld, Eduard von;False;Text;;;;1802;1890
126;Baumann, Alexander;False;Text;;;;1814;1857
127;Baumann, Johann Wilhelm;False;Graphik;;;;Mitte 19. Jht.;
128;Baumgarten, Gustav Friedrich;False;Graphik;;;;e. 1828;
129;Baumgärtner, Julius Alexander;False;Text;Alexander Erbach;;;1797;1855
130;Baxter, Charles;False;Graphik;;;;1809;1879
131;Beaume, Joseph;False;Graphik;;;;1796;1885
132;Beccau, Joachim;False;Text;;;;um 1690;1755
133;Bechstein, Johann Matthäus;False;Text;;;;1757;1822
134;Bechstein, Ludwig;False;Text;;;;1801;1860
135;Bechtolsheim, Julie von;False;Text;;;;1747;1847
136;Beck, Friedrich;False;Text;;;;1806;1888
137;Beck, Heinrich (1);False;Text;;;;1760;1803
138;Beck, Heinrich (2);False;Graphik;;;;1788;1875
139;Beck, Karl;False;Text;;;;1817;1879
140;Becker, Gotthelf Wilhelm Rupert;False;Text;;;;1759;1823
141;Becker, Jakob;False;Graphik;;;;1810;1872
142;Becker, Nicolaus;False;Text;;;;1810;1845
143;Becker, Philipp Jakob;False;Graphik;;;;1759;1829
144;Becker, Wilhelm Gottlieb;False;Text;;;;1753;1813
145;Beczwarzowsky, Anton Felix;False;Musik;;;;1754;1823
146;Beechey, William;False;Graphik;;;;1753;1839
147;Beer, Michael;False;Text;;;;1800;1833
148;Beethoven, Ludwig van;False;Musik;;;;1770;1827
149;Bega, Cornelis;False;Graphik;;;;1620;1664
150;Begas, Karl;False;Graphik;;;;1794;1854
151;Beggroff, Karl Joachim;False;Graphik;;;;1799;1875
152;Behrendsen, August;False;Graphik;;;;1819;1886
153;Bein, Jean;False;Graphik;;;;1789;1857
154;Beireis, Gottfried Christoph;False;Text;;;;1730;1809
155;Benda, Friedrich Ludwig;False;Musik;;;;1746;1792
156;Benda, Georg;False;Musik;;;;1721;1795 (1799)
157;Bendemann, Eduard Julius Friedrich;False;Graphik;;;;1811;1889
158;Benedetti, Tommaso;False;Graphik;;;;1796;1863
159;Benedicti, L.;False;Graphik;;;;e. 1808;
160;Bentheim-Tecklenburg-Rheda, Moritz von;False;Text;;;;1798;1877
161;Bentzel-Sternau, Karl Christian Ernst von;False;Text;;;;1767;1849
162;Benz, Achilles;False;Graphik;;;;1766;
163;Berchem, Nicolaes van;False;Graphik;;;;1649;1672
164;Berg, Simon van den;False;Graphik;;;;1812;1891
165;Bergamenter, Gottfried;False;Text;;;;1820;1893
166;Berger, Daniel;False;Graphik;;;;1744;1824
167;Berger, Ferdinand;False;Graphik;;;;e. 1830 1844;
168;Berger, Friedrich Gottlieb;False;Graphik;;;;1713;<1797
169;Berger, Ludwig;False;Musik;;;;1777;1839
170;Berger, Traugott Benjamin;False;Text;;;;1754;1810
171;Berggold, Carl Moritz;False;Graphik;;;;1759;1814
172;Berghe, W. J. v. d.;False;Graphik;;;;1828;
173;Berghofer, Amand;False;Text;;;;1744;1825
174;Bergk, Johann Adam;False;Text u. Sonst.;Elias der Jüngere;;;1769;1834
175;Bergler, Joseph (d. J.);False;Graphik;;;;1753;1829
176;Bergt, Christian Gottlob August;False;Musik;;;;1772;1837
177;Berka, Johann;False;Graphik;;;;1758;1815
178;Berkowetz, Joseph;False;Graphik;;;;1. Hälfte 19. Jh.;
179;Berlepsch, Emilie von;False;Text;;;;1757;1830
180;Bernard, J. K;False;Text;;;;1780;1850
181;Berndt, Johann Christian;False;Graphik;;;;1748;1812
182;Berneck, Carl Gustav von;False;Text;Bernd von Guseck;;;1803;1871
183;Bernhardi, Johann Christian August Ferdinand;False;Text;;;;1769;1820
184;Bertrand, Friedrich Anton Franz;False;Text;;;;1757;
185;Bertuch, Friedrich Justin;False;Text;;;;1747;1822
186;Besser, Johann von;False;Text;;;;1654;1729
187;Bettziech, Heinrich;False;Text;H. Beta;;;1813;1876
188;Beurmann, Eduard;False;Text;;;;e. 1835;1844
189;Beust, Philippine Wilhelmine von;False;Text;;;;1786;1834
190;Beuther, Friedrich;False;Text;;;;1776;1856
191;Beyer, Johann August von;False;Text;;;;1732;1814
192;Beyer, Leopold;False;Graphik;;;;1784;1870
193;Beyer, Rudolf von;False;Text;Rupertus;;;1810;1850
194;Biedenfeld, Ferdinand Leopold Karl von;False;Text;;;;1788;1862
195;Biedermann, Johan Jakob;False;Graphik;;;;1763;1830
196;Biefve, Edouard de;False;Graphik;;;;1808;1882
197;Biermann, Eduard;False;Graphik;;;;1803;1892
198;Bilderbeck, Ludwig Franz von;False;Text;;;;1764;1833
199;Bindemann, Ernst Christoph;False;Text u. Hrsg.;;;;1766;1845
200;Binet, Louis;False;Graphik;;;;1744;~1800
201;Bing, Valentin;False;Graphik;;;;1812;
202;Binzer, August Daniel von;False;Text;;;;1793;1868
203;Birch-Pfeiffer, Charlotte;False;Text;;;;1800;1868
204;Bircken, Siegmund von;False;Text;Floridan;;;1635;1681
205;Bischoff, Johann Nicolaus;False;Text;;;;1756;1833
206;Bisshop, Christoffel;False;Graphik;;;;1828;1904
207;Bittheuser, Johann Pleikard;False;Graphik;;;;1774;1859
208;Blanc, Louis Ammy;False;Graphik;;;;1810;1885
209;Blangini, Felix;False;Musik;;;;e. 1805;
210;Blankensee, Georg Friedrich Alexander von;False;Text;;;;1792;1867
211;Blasche, Georg Adolph;False;Text;;;;1758;1831
212;Blaschke, János;False;Graphik;;;;1770;1833
213;Blechen, Karl;False;Graphik;;;;1798;1840
214;Bles, David Joseph;False;Graphik;;;;1821;1899
215;Blochmann, Christian Ehrenfried Leberecht;False;Text;;;;1777;1840
216;Blomberg, Hugo von;False;Text;;;;1820;1871
217;Blomberg, Wilhelm von;False;Text;;;;1786;1846
218;Blum, Joachim Christian;False;Text;;;;1739;1790
219;Blum, Karl Ludwig;False;Text u. Musik;;;;1786;1844
220;Blum, Robert;False;Text u. Hrsg.;;;;1804;1848
221;Blumauer, Johann Aloys;False;Text;;;;1755;1798
222;Blumauer, Karl;False;Text;;;;1785;1840
223;Blumenbach, Johann Friedrich;False;Text;;;;1752;1840
224;Blumenhagen, Philipp Wilhelm Georg August;False;Text;;;;1781;1839
225;Blumröder, Johann August Friedrich;False;Text;;;;1776;1860
226;Boaden, John;False;Graphik;;;;;1839
227;Boccaccio, Giovanni;False;Text;;;;1313;1375
228;Bock, Christoph Wilhelm;False;Graphik;;;;1755;>1830
229;Bock, Cornelius Peter;False;Text;Christodor;;;1804;1894
230;Bock, Johann Carl;False;Graphik;;;;1757;>1806
231;Bock, Johann Christian;False;Text;;;;1724;1785
232;Böckh, August;False;Text;;;;1785;1867
233;Böckh, Christian Gottfried;False;Text u. Hrsg;;;;1732;1792
234;Böcklin von und zu Böcklins-Au, Franz Friedrich Siegmund August;False;Musik;;;;1745;1813
235;Bode, Johann Ehlert;False;Text;;;;1747;1826
236;Bode, Johann Joachim Christoph;False;Text u. Hrsg;;;;1730;1793
237;Bode, Theodor Heinrich August;False;Text;;;;1778;1804
238;Bodenstedt, Friedrich;False;Text;;;;1819;1892
239;Bodmer, Gottlieb;False;Graphik;;;;1804;1837
240;Bodmer, Johann Jakob;False;Text;;;;1698;1783
241;Boettger, Gottlieb;False;Graphik;;;;e. 1796, 1813;
242;Boettger, Johann Gottlieb;False;Graphik;;;;1763;1825
243;Bogner, Anton;False;Graphik;;;;1812;1859
244;Boguslawski, Johann Heinrich Georg von;False;Text;;;;1757;1802
245;Boguslawski, Karl Andreas von;False;Text u. Hrsg;;;;1759;1817
246;Bohlen, Peter von;False;Text;;;;1796;1840
247;Böhlendorff, Kasimir Ulrich;False;Text;;;;1775;1868
248;Böhm, Amadeus Wenzel;False;Graphik;;;;1769;1823
249;Böhme, Johann Christian;False;Graphik;;;;1771;
250;Boie, Heinrich Christian;False;Text;;;;1744;1806
251;Boileau, Nicolas;False;Text;;;;1636;1711
252;Bollinger, Friedrich Wilhelm;False;Graphik;;;;1777;1825
253;Bolt, Johann Friedrich;False;Graphik;;;;1769;1836
254;Boltz, August Andreas;False;Text;;;;1793;1864
255;Bolza, Eugenie;False;Text;"Natalie; Baronesse Popp";;;1816;1891
256;Bommer, Heinrich Wilhelm;False;Text;;;;1776;
257;Bone, Robert Trewick;False;Graphik;;;;1790;1840
258;Bonington, Richard Parkes;False;Graphik;;;;1801;1828
259;Bonn, Franz;False;Text;;;;1830;1894
260;Bonnefond, Claude;False;Graphik;;;;1796;1860
261;Bonstetten, Karl Victor von;False;Text;;;;1745;1832
262;Borch, Gerhard ter (d. J.);False;Graphik;;;;1617;1681
263;Borch, Wilhelm Friedrich von der;False;Text;;;;1771;1833
264;Borchmeyer, Wilhelm Anton;False;Text;;;;1777;
265;Bordone, Paris Paschalinus;False;Graphik;;;;1500;1571
266;Bornhardt, Johann Heinrich Karl;False;Musik;;;;1773;1844
267;Bornkessel, J. G.;False;Musik;;;;e. 1799;
268;Bornowski, Theodor;False;Text;;;;1829;
269;Borries, Sophie;False;Text;Diotima;;;1799;1841
270;Bosboom, Johannes;False;Graphik;;;;1817;1891
271;Both, Andriesz;False;Graphik;;;;1608;<1646
272;Both, Jan;False;Graphik;;;;1618(?);1652
273;Bothe, Friedrich Heinrich;False;Text;;;;1770;1855
274;Böttger, Adolf;False;Text;;;;1815;1870
275;Böttiger, Karl August;False;Text;;;;1760;1835
276;Böttner, Wilhelm;False;Graphik;;;;1752;1805
277;Bourdon, Sebastien;False;Graphik;;;;1616;1671
