ID;NAME;ORGANISATION;BERUF;PSEUDONYM;ANMERKUNGEN;GND;Geburtsdatum;Sterbedatum
437;Conti, Carl;False;Graphik;;;;1740;1795
438;Conz, Karl Philipp;False;Text;Kurd;;;1762;1827
439;Cook, Henry R.;False;Graphik;;;;e. 1800;1845
440;Cooke, George;False;Graphik;;;;1781;1834
441;Cooke, William John;False;Graphik;;;;1797;1865
442;Cooper, Abraham;False;Graphik;;;;1787;1868
443;Corbaux, Fanny;False;Graphik;;;;1812;1883
444;Corbould, Edward Henry;False;Graphik;;;;1815;1905
445;Corbould, Henry;False;Graphik;;;;1787;1844
446;Coremanns, Viktor Amadeus;False;Text u. Hrsg;;;;1802;
447;Cornelius, Peter;False;Graphik u. Text;;;;1783;1867
448;Correggio. Allegri, Antonio;False;Graphik;;;;1494;1534
449;Cortona, Pietro da. Berrettini, Pietro da Cortona;False;Graphik;;;;1596;1669
450;Corvin-Wiersbitzki, Otto Julius Bernhard von;False;Text u. Hrsg.;;;;1812;1886
451;Cosmar, Alexander;False;Text u. Hrsg.;;;;1805;1842
452;Costenoble, Karl Ludwig;False;Text;;;;1769;1837
453;Cosway, Richard;False;Graphik;;;;1742;1821
454;Cotta von Cottendorf, Johann Friedrich;False;Text u. Sonst.;;;;1764;1832
455;Cotta, Friedrich Wilhelm von;False;Text;;;;1796;1874
456;Cotta, Heinrich von;False;Text;;;;1763;1844
457;Coupé, Antoine-Jean-Baptiste;False;Graphik;;;;1784;
458;Court, Joseph Désiré;False;Graphik;;;;1797;1865
459;Couwenberg, Henricus Wilhelmus;False;Graphik;;;;1814;1845
460;Craesbeeck, Joos van;False;Graphik;;;;~ 1605;1654
461;Craeyvanger, Reinier;False;Graphik;;;;1812;1880
462;Cramer, Johann Andreas;False;Text;;;;1723;1788
463;Cramer, Karl Friedrich;False;Text;;;;1752;1807
464;Cramer, Karl Gottlob;False;Text;;;;1758;1817
465;Cranach, Lucas (d. Ä.);False;Graphik;;;;1472;1553
466;Crayer, Caspar de;False;Graphik;;;;1584;1669
467;Creizenach, Theodor;False;Text;;;;1818;1877
468;Creutzburg, Johann Kaspar;False;Musik;;;;e. 1760;
469;Creuzer, Gustav;False;Graphik;;;;1812;1862
470;Crome, Ludwig Gottlieb;False;Text;;;;1742;1794
471;Cronegk, Johann Friedrich von;False;Text;;;;1731;1757
472;Cruikshank, George;False;Graphik;;;;1792;1878
473;Crusius, Gottlieb Leberecht;False;Graphik;;;;1730;1804
474;Cunow, Martin;False;Text;;;;1786;
475;Curths, Karl;False;Text;;;;1764;1816
476;Curtius, Ernst;False;Text;;;;1814;1896
477;Curty, Joseph Emmanuel;False;Graphik;;;;1750;1813
478;Czerny, Karl;False;Musik;;;;1791;1857
479;Czetter, Samuel;False;Graphik;;;;e. 1786;1818
480;d'Arien, Bernhard Christoph;False;Text;;;;1754;1793
481;Daege, Eduard;False;Graphik;;;;1805;1883
482;Daffinger, Moritz Michael;False;Graphik;;;;1790;1849
483;Dähling, Heinrich Anton;False;Graphik;;;;1773;1850
484;Dahn, Felix;False;Text;;;;1834;1912
485;Dalberg, Johann Friedrich Hugo von;False;Text;;;;1760;1812
486;Dalberg, Wolfgang Heribert;False;Text;;;;1750;1806
487;Dalbon, August;False;Graphik;;;;1. Hälfte 19. Jh.;
488;Dambeck, Johann Heinrich;False;Text;;;;1774;1820
489;Dambrun, Jean;False;Graphik;;;;1741;
490;Dandini, Cesare;False;Graphik;;;;1595;1658
491;Danhauser, Joseph;False;Graphik;;;;1805;1845
492;Daniell, William;False;Graphik;;;;1769;1837
493;Danloux, Henri Pierre;False;Graphik;;;;1753;1809
494;Dante Alighieri;False;Text;;;;1265;1321
495;Darbes (d'Arbes), Joseph Friedrich August;False;Graphik;;;;1747;1810
496;Darchow, C.;False;Graphik;;;;e. 1782;1794
497;Darnstedt, Johann Adolph;False;Graphik;;;;1769;1844
498;Darwin, Erasmus;False;Text;;;;1731;1802
499;Daumer, Georg Friedrich;False;Text;;;;1800;1875
500;Davenport, Samuel;False;Graphik;;;;1783;1867
501;Däves, A.;False;Text;;;;1794;1842
502;David, Louis;False;Graphik;;;;1748;1825
503;Davis, J. P.;False;Graphik;Pope Davis;;;1784;1862
504;Davison, William;False;Graphik;;;;e. 1813;1843
505;Daxenberger, Sebastian Franz von;False;Text;Karl Fernau;;;1809;1878
506;Dean, T. A.;False;Graphik;;;;e. 1818;1840
507;Decaisne, Henri;False;Graphik;;;;1799;1852
508;Decker, Albert;False;Graphik;;;;1817;1871
509;Decker, Johann Stephan;False;Graphik;;;;1784;1844
510;Dedreux-Dorcy, Pierre Joseph;False;Graphik;;;;1789;1874
511;Dehne;False;Graphik;;;;e. 1797, 1798;
512;Deinhardstein, Johann Ludwig Ferdinand;False;Text;;;;1794;1859
513;Deis, Carl August;False;Graphik;;;;1810;1884
514;Dejuinne, Francois Louis;False;Graphik;;;;1786;1844
515;Delaroche, Paul;False;Graphik;;;;1797;1856
516;Delavigne, Jean Francois Casimir;False;Text;;;;1793;1843
517;Delécluse, Etienne Jean;False;Graphik;;;;1781;1863
518;Delen, Dirck van;False;Graphik;;;;1605;1671
519;Delille, Jacques;False;Text;;;;1738;1813
520;Delius, Nikolaus;False;Text;;;;1813;188
521;Delkeskamp, Friedrich Wilhelm;False;Graphik;;;;1794;1872
522;Delvaux, Marie Auguste;False;Graphik;;;;1786;
523;Demiani, Carl Friedrich;False;Graphik;;;;1768;1823
524;Demme, Hermann Christoph Gottfried;False;Text;Karl Stille;;;1760;1822
525;Denis, Johann Nepomuk Cosmas Michael;False;Text;Sined, Sined der Barde;;;1729;1800
526;Depping, Georg Bernhard;False;Text;;;;1784;1853
527;Dertinger, Ernst;False;Graphik;;;;1816;1865
528;Desenne, Alexandre Joseph;False;Graphik;;;;1785;1827
529;Desnoyers, Auguste Gaspard Louis;False;Graphik;;;;1779;1857
530;Desprez, Jean Louis;False;Graphik;;;;1743;1804
531;Dessauer, Joseph;False;Musik;;;;1798;1876
532;Deucker, Georg Heinrich Karl;False;Graphik;;;;1801;1863
533;Deventer, Jan Frederik van;False;Graphik;;;;1822;1886
534;Devéria, Achille;False;Graphik;;;;1800;1857
535;Devillers, George;False;Graphik;;;;e. 1804, 1808, 1819;
536;Devrient, Eduard;False;Text;;;;1801;1877
537;Devrient, Wilhelm;False;Graphik;;;;1799;>1866
538;Dick, Johann Tobias;False;Text;;;;1746;1786
539;Dieffenbach, Johann Philipp;False;Text;;;;1786;1860
540;Dielmann, Jacob Fürchtegott;False;Graphik;;;;1809;1885
541;Diericke, Friedrich Otto von;False;Text;;;;1743;1822
542;Dieterich, Heinrich;False;Text u. Sonst.;;;;1761;1837
543;Dieterich, Johann Christian;False;Text u. Sonst.;;;;1712;1800
544;Dieterich, Johann Friedrich;False;Graphik;;;;1787;1846
545;Dieterici, Karl Friedrich Wilhelm;False;Text;;;;1790;1859
546;Dietrich, Christian Wilhelm Ernst;False;Graphik;;;;1712;1774
547;Dietrichstein, Moritz von;False;Text u. Musik;;;;1775;1864
548;Dietze, August;False;Graphik;;;;;1840
549;Diez, Samuel Friedrich;False;Graphik;;;;1803;1873
550;Dilthey, Isaak Daniel;False;Text;;;;1752;1793
551;Dincklage, Amalie Ehrengarte Sophie Wilhelmine (Emmy) von;False;Text;;;;1825;1891
552;Dingelstedt, Franz;False;Text;;;;1814;1881
553;Diog, Felix Maria;False;Graphik;;;;1762;1834
554;Dippold, Hans Karl;False;Text;;;;1783;
555;Disteli, Martin;False;Graphik;;;;1802;1844
556;Ditters von Dittersdorf, Karl von;False;Musik;;;;1739;1799
557;Döbler, Georg;False;Graphik;;;;1788;1845
558;Dobson, William Charles Thomas;False;Graphik;;;;1817;1898
559;Docen, Bernhard Joseph;False;Text;;;;1782;1828
560;Doebelin, Karl Theodor;False;Text;;;;1727;1793
561;Does, Jacob (d. Ä.);False;Graphik;;;;1623;1673
562;Dolci, Carlo;False;Graphik;;;;1616;1686
563;Domenichino. Zampieri, Domenico;False;Graphik;;;;1581;1641
564;Dondorf, Bernhard J.;False;Graphik;;;;1809;1902
565;Dönniges, Franz Alexander Friedrich Wilhelm;False;Text;;;;1814;1872
566;Döring, Georg Christian Wilhelm Asmus;False;Text;;;;1789;1833
567;Döring, Heinrich;False;Text;;;;1789;1862
568;Döring, Johann von;False;Text;;;;1741;1818
569;Döring, Karl August;False;Text u. Hrsg;;;;1783;1844
570;Dornheim, Johann Carl;False;Graphik;;;;1760;
571;Dörr, Adolph;False;Text;;;;1816;1868
572;Dotzauer, Justus Johann Friedrich;False;Musik;;;;1783;1860
573;Dou, Gerrit;False;Graphik;;;;1613;1675
574;Dräxler, Karl Ferdinand;False;Text;Manfred;;;1806;1879
575;Dressler, Ernst Christoph;False;Text u. Musik;;;;1734;1779
576;Dreves, Leberecht Blücher;False;Text;;;;1816;1870
577;Drexler, Anton Ferdinand;False;Text;;;;1774;>1822
578;Dreykorn, Johann;False;Graphik;;;;1745;1799
579;Drobisch, Theodor;False;Text;;;;1811;1882
580;Droste-Hülshoff, Annette Elisabeth von;False;Text;;;;1797;1848
581;Drummond, William;False;Graphik;;;;1800;1850
582;Düberg, Carl Joachim Ernst;False;Graphik;;;;1801;1849
583;Duboc, Charles Eduard;False;Text;Robert Waldmüller;;;1822;1910
584;Dubourcq, Pierre Louis;False;Graphik;;;;1815;1873
585;Dubufe, Claude Marie;False;Graphik;;;;1790;1864
586;Dubufe, Edouard;False;Graphik;;;;1820;1883
587;Ducis, Louis;False;Graphik;;;;1775;1847
588;Duller, Eduard;False;Text;;;;1809;1853
589;Duncan, Andrew;False;Graphik;;;;1795;>1845
590;Duncker, Alexander Friedrich Wilhelm;False;Text u. Hrsg;;;;1813;1897
591;Dunker, Balthasar Anton;False;Text u. Graphik;;;;1746;1807
592;Duplessis, Joseph Siffred;False;Graphik;;;;1725;1802
593;Dupréel, Jean Baptiste Michel;False;Graphik;;;;e. 1787;1817
594;Dürer, Albrecht;False;Graphik;;;;1471;1528
595;Dusch, Johann Jakob;False;Text;;;;1725;1787
596;Duttenhofer, Anton;False;Graphik;;;;1812;1843
597;Duttenhofer, Christian Friedrich Traugott;False;Graphik;;;;1778;1846
598;Duttenhofer, Jacob Heinrich;False;Text;;;;1758;
599;Duval Le Camus, Jules Alexandre;False;Graphik;;;;1814;1878
600;Duval Le Camus, Pierre;False;Graphik;;;;1790;1854
601;Dvoržak, Adolf;False;Graphik;;;;e. 1821;1833
602;Dyck, Anton van;False;Graphik;;;;1599;1641
603;Eastlake, Charles Lock;False;Graphik;;;;1793;1865
604;Easton, Reginald;False;Graphik;;;;1807;1893
605;Eberhard, Christian August Gottlob;False;Text;;;;1769;1845
606;Ebers, Karl Friedrich;False;Musik;;;;1770;1836
607;Ebersberg, Joseph Sigmund;False;Text u. Hrsg;;;;1799;1854
608;Ebert, Johann Arnold;False;Text;;;;1723;1795
609;Ebert, Johann Jakob;False;Text u. Hrsg;;;;1737;1805
610;Ebert, Karl Egon;False;Text;;;;1801;1882
611;Eberwein, Traugott Maximilian;False;Musik;;;;1775;1831
612;Echtermeyer, Theodor;False;Text;;;;1805;1844
613;Eck, Johann Georg;False;Text;;;;1777;1845
614;Ecker, Bernhard Joseph;False;Text;;;;1774;1819
615;Eckermann, Johann Peter;False;Text;;;;1792;1854
616;Eckschläger, Joseph August;False;Text;;;;e. 1812;
617;Ed, Christoph Marquard;False;Text;Stallknecht;;;1809;1885
618;Eder, Joseph;False;Graphik;;;;1760;
619;Eeckhout, Jakob Josef;False;Graphik;;;;1793;1861
620;Eekhout, Gerbrand;False;Graphik;;;;1612;1674
621;Eggers, Hartwig Karl Friedrich;False;Text;;;;1819;1872
622;Eggers, Joachim Gerhard;False;Text;;;;1777;1820
623;Egleton, William Henry;False;Graphik;;;;e. 1833;1862
624;Egley, William;False;Graphik;;;;1798;1870
625;Ehnle, Adrianus Johannes;False;Graphik;;;;1819;1863
626;Ehrenberg, Friedrich;False;Text;;;;1776;1852
627;Ehrhart von Ehrhartstein, Vinzenz;False;Text;;;;1824;1873
628;Eichendorff, Joseph von;False;Text;Florens;;;1788;1857
629;Eichendorff, Wilhelm von;False;Text;;;;1786;1849
630;Eichens, Eduard;False;Graphik;;;;1804;1877
631;Eichler, Andreas Chrysogon;False;Text;;;;1762;1841
632;Eichler, Matthias Gottfried;False;Graphik;;;;1748;1818
633;Eichner, Adelheid Marie;False;Musik;;;;1762;1787
634;Einem, Johann Konrad von;False;Text;;;;17?;1799
635;Einsiedel, Agnes von;False;Text;Sallet;;;1776;
636;Einsle, Anton;False;Graphik;;;;1801;1871
637;Eisen, August Paul;False;Graphik;;;;1777;
638;Eisenlohr, Christoph Jakob;False;Text;;;;1775;
639;Eisner, Franz;False;Graphik;;;;e. 1817;1824
640;Eissner, Joseph (2);False;Graphik;;;;1788;1861
641;Elissen, Adolf;False;Text;;;;1815;1872
642;Elliger, Ottmar (d. J.);False;Graphik;;;;1666;1735
643;Elsheimer, Adam;False;Graphik;;;;1578;1610
644;Elshoff, Hermann Joseph;False;Text;;;;1795;1843
645;Elwert, Anselm;False;Text;;;;1761;1825
646;Embde, August von der;False;Graphik;;;;1780;1862
647;Emmrich, Georg;False;Text;;;;1773;1837
648;Ender, Eduard;False;Graphik;;;;1822;1883
649;Ender, Johann Nepomuk;False;Graphik;;;;1793;1854
650;Ender, Thomas;False;Graphik;;;;1793;1875
651;Endner, Gustav Georg;False;Graphik;;;;1754;1824
652;Endrulat, Bernhard Ferdinand Julius;False;Text;;;;1828;1886
653;Engel, Carl;False;Graphik;genannt Engel von der Rabenau;;;1817;1870
654;Engel, Johann Jakob;False;Text;;;;1741;1802
655;Engelhard geb. Gatterer, Magdalene Philippine;False;Text;"Juliane S.; Karoline; Rosalia";;;1756;1831
656;Engelhard, Karoline;False;Text;;;;1781;1855
657;Engelhardt, Karl August;False;Text;Richard Roos;;;1768;1834
658;Engelschall, Joseph Friedrich;False;Text u. Graphik;;;;1739;1797
659;Engleheart, Francis;False;Graphik;;;;1775;1849
660;Engleheart, Timothy Stansfeld;False;Graphik;;;;1803;1879
661;Englert, Franz Joseph;False;Text;;;;1823;
662;Enk von der Burg, Michael Leopold;False;Text;;;;1788;1843
663;Epple;False;Graphik;;;;e. 1823;1839
664;Erhard, Eduard;False;Graphik;;;;1799;
665;Erhard, Johann Christoph;False;Graphik;;;;1795;1822
666;Erichson, Johann;False;Text u. Hrsg;;;;1733;1856
667;Ermer, C.;False;Graphik;;;;e. 1810;1830
668;Ernst August von Sachsen-Weimar;False;Text;;;;1688;1748
669;Ernst von Ernsthausen, August;False;Text;;;;1782;1847
670;Ernst, Friedrich;False;Text;;;;*1805;
671;Ernst, Karl Mathias;False;Graphik;;;;1758;1830
672;Erxleben, Johann Christian Polykarp;False;Text u. Hrsg;;;;1744;1777
673;Eschen, Friedrich August;False;Text;;;;1776;1800
674;Eschenburg, Johann Joachim;False;Text;;;;1743;1820
675;Eschke, Ernst Adolph;False;Text;;;;1766;1811
676;Eschstruth, Hans Adolf;False;Text u. Hrsg;C. Junius;;;1756;1792
677;Esmarch, Karl Bernhard Hieronymus;False;Text;;;;1824;1887
678;Esslinger, Martin;False;Graphik;;;;1793;1841
679;Euripides;False;Text;;;;485/484 od. 480;406
680;Everdingen, Allart van;False;Graphik;;;;1621;1675
681;Ewald, Johann Ludwig;False;Text;;;;1747;1822
682;Ewald, Johannes;False;Text;;;;1743;1787
683;Eyb, Wilhelm von;False;Text;;;;1795;1831
684;Faber du Faur, Christian Wilhelm von;False;Graphik;;;;1780;1857
685;Faber, Traugott;False;Graphik;;;;1786;1863
686;Faed, Thomas;False;Graphik;;;;1826;1900
687;Falk, Johannes Daniel;False;Text;;;;1768;1826
688;Falke, Tobias;False;Graphik;;;;e. 1807;1829
689;Falkeisen, Johann Jakob;False;Graphik;;;;1804;1883
690;Falkenstein, Ludwig von;False;Text u. Hrsg;Ludwig Ohnesorgen;;;1797;1871
691;Fallenstein, Manfred Friedrich Bauer;False;Text;;;;e. 1813;
692;Fallenstein, Mann Friedrich Bauer;False;Text;;;;e. 1813;
693;Faulkner, Benjamin Rawlinson;False;Graphik;;;;1787;1849
694;Fechhelm, Christian Gottlob;False;Graphik;;;;1732;1816
695;Fechner, Eduard Clemens;False;Graphik;;;;1799;1861
696;Fechner, Gustav Theodor;False;Text;;;;1801;1887
697;Fegely, Philippe de;False;Graphik;;;;1790;1831
698;Feldern-Rolf, Mathilde;False;Text;;;;1810;
699;Fellinger, Johann Georg;False;Text;;;;1781;1816
700;Fellner, Ferdinand;False;Graphik;;;;1799;1859
701;Felsing, Conrad;False;Graphik;;;;1766;1819
702;Felsing, Heinrich;False;Graphik;;;;1800;1875
703;Felsing, Jacob;False;Graphik;;;;1802;1883
704;Fendi, Peter;False;Graphik;;;;1796;1842
705;Fentsch, Eduard;False;Text;Frater Hilarius;;;1814;1877
706;Ferber, Otto;False;Text;Robert Feretto;;;um 1790;1831
707;Fernow, Karl Ludwig;False;Text;;;;1763;1808
708;Feuchtersleben, Eduard von;False;Text;;;;;1840
709;Feuchtersleben, Ernst von;False;Text;;;;1806;1849
710;Fichte, Johann Gottlieb;False;Text;;;;1762;1814
711;Fiedler, Bernhard;False;Graphik;;;;1816;1904
712;Fincke, Hans;False;Graphik;;;;1800;1849
713;Findeisen, Julius;False;Text;;;;1809;1879
714;Finden, Edward;False;Graphik;;;;1791;1857
715;Finden, William;False;Graphik;;;;1787;1852
716;Fink, Gottfried Wilhelm;False;Text;;;;1783;1846
717;Fiorillo, Johann Dominicus;False;Graphik;;;;1748;1821
718;Firmenich (-Richartz), Johann Matthias;False;Text;;;;1808;1889
719;Fischart, Johann;False;Text;;;;1550;1590
720;Fischel, Maximilian;False;Text u. Hrsg;;;;1779;1812
721;Fischer, Christian August;False;Text;;;;1771;1829
722;Fischer, Gottlob Nathanael;False;Text;;;;1748;1800
723;Fischer, Jacob Adolph;False;Graphik;;;;1755;1799
724;Fischer, Johann Georg;False;Text;;;;1816;1897
725;Fischer, Leopold;False;Graphik;;;;1813/14;
726;Fischer, Valentin Franz Stanislaus;False;Text u. Hrsg;;;;1781;
727;Fischhof, Joseph;False;Musik;;;;1804;1858
728;Fitzinger, Franz;False;Text;;;;1800;
729;Flachenecker, Ferdinand Wolfgang;False;Graphik;;;;1792;1847
730;Flaxmann, John;False;Graphik;;;;1755;1826
731;Fleckles, Leopold;False;Text;Julius;;;1802;1879
732;Fleischer, Ernst;False;Text u. Hrsg;;;;1770;1849
733;Fleischer, Friedrich Gottlob;False;Musik;;;;1722;1806
734;Fleischmann, Friedrich (1);False;Musik;;;;1766;1798
735;Fleischmann, Friedrich (2);False;Graphik;;;;1791;1834
736;Fleischmann, Jacob;False;Graphik;;;;1816;1866
737;Fleming, Paul;False;Text;;;;1609;1640
738;Flittner, Christian Gottfried;False;Text;"G. W. von Abenstein; Adolf Julius Theodor (Caroline Luise) v. Berga; Julius August Freudenberger";;;1770;1828
739;Florian, Jean-Pierre Claris de;False;Text;;;;1755−1794;
740;Flörke, Heinrich Gustav;False;Text;;;;17?;1835
741;Floto, Wilhelm;False;Text;;;;1812;1869
742;Foglár, Ludwig Stephan;False;Text;;;;1819;1889
743;Fohr, Carl Philipp;False;Graphik;;;;1795;1818
744;Fohr, Daniel;False;Graphik;;;;1801;1862
745;Follen, August Adolf Ludwig;False;Text;;;;1794;1855
746;Follenweider, Rudolf;False;Graphik;;;;1774;1847
747;Foltz, Philipp von;False;Graphik;;;;1805;1877
748;Fontane, Theodor;False;Text;;;;1819;1898
749;Foote, Samuel;False;Text;;;;1720;1777
750;Forbes, James;False;Graphik;;;;1749;1819
751;Forbin, Auguste de;False;Graphik;;;;1777;1841
752;Forkel, Johann Nikolaus;False;Musik;;;;1749;1818
753;Forsmann, Gustav Andreas;False;Graphik;;;;1773;1830
754;Forssell, Christian Didrik;False;Graphik;;;;1777;1852
755;Förster, Ernst;False;Graphik;;;;1800;1885
756;Förster, Friedrich;False;Text;;;;1791;1868
757;Forster, Johann Georg Adam;False;Text;;;;1754;1794
758;Förster, Karl August;False;Text;;;;1784;1841
759;Förster, Lebrecht Gotthilf;False;Text;Alexis der Wanderer;;;1788;1846
760;Förster, Wilhelm Adolph Ferdinand;False;Text;Kastor;;;1797;1847
761;Fortier, Claude Francois;False;Graphik;;;;1775;1835
762;Fouqué, Friedrich Heinrich Karl de la Motte;False;Text u. Hrsg.;Pellegrin;;;1777;1843
763;Fouqué, Karoline Auguste de la Motte;False;Text;;;;1773;1831
764;Fowler, William III.;False;Graphik;;;;1796;1880
765;Fragonard, Alexandre Evariste;False;Graphik;;;;1780;1850
766;Fragonard, Alexandre Evariste und Roger, Barthélemy;False;Graphik;;;;;
767;Fragonard, Honoré;False;Graphik;;;;1732;1806
768;Franceschini, Marco Antonio;False;Graphik;;;;1648;1729
769;Francia, Francesco;False;Graphik;;;;<1453;1517
770;Franck, Gustav von;False;Text;;;;1807;1894
771;Frank, Gustav von;False;Text u. Hrsg.;"Dr. Franck; Dr. Frank";;;1807;1860
772;Frank, Julius;False;Graphik;;;;1826;1908
773;Frankl, Ludwig August;False;Text;;;;1810;1894
774;Franul von Weißenthurn, Johanna;False;Text;;;;1773;1847
775;Franz, Agnes;False;Text;;;;1794;1843
776;Fratel, Joseph d. Ä.;False;Graphik;;;;1730;1783
777;Freebairn, Alfred Robert;False;Graphik;;;;1794;1846
778;Frégevize, Frédéric;False;Graphik;;;;1770;1849
779;Frégevize, Frédéric u.;False;Graphik;;;;;
780;Freiligrath, Ferdinand;False;Text;;;;1810;1876
781;Frentzel, Georg Friedrich Jonas;False;Graphik;;;;1754;1799
782;Frenzel, Johann Gottlieb Abraham;False;Graphik;;;;1782;1855
783;Freudenberger, Sigmund;False;Graphik;;;;1745;1801
784;Freudentheil, Wilhelm Nikolaus;False;Text;;;;1771;1853
785;Freudweiler, Heinrich;False;Graphik;;;;1755;1795
786;Frey, Samuel;False;Graphik;;;;1785;1836
787;Freytag, Gustav;False;Text;;;;1816;1895
788;Frick, Johann Friedrich;False;Graphik;;;;1774;1850
789;Fridrich, Karl Julius;False;Text;;;;1756;
790;Friederich, Albrecht;False;Text;;;;1775;1843
791;Friederich, Gerhard;False;Text;"Friedr. Waller; Tyrtäus";;;1779;1862
792;Friedmann, Otto Bernhard;False;Text u. Hrsg;;;;e. 1847;
793;Friedrich II.;False;Text;;;;1712;1786
794;Friedrich, Theodor Heinrich;False;Text;;;;1776;1819
795;Fries, Ernst;False;Graphik;;;;1801;1833
796;Frisch, Johann Christoph;False;Graphik;;;;1738;1815
797;Fritsch, Johann Heinrich;False;Text u. Hrsg;;;;1772;1829
798;Fritzsch, Johann Christian Gottfried;False;Graphik;;;;um 1720;1802
799;Fröbel, Julius;False;Text;C. Junius;;;1805;1893
800;Frohberg, Regina;False;Text;;;;1783;
801;Fröhlich, Abraham Emanuel;False;Text u. Hrsg;;;;1796;1865
802;Fröhlich, Friedrich Theodor;False;Musik u. Text;;;;1803;1836
803;Fröhlich, Karl;False;Text;;;;1821;1898
804;Frölich, Henriette;False;Text;;;;1768;1819
805;Frombeck, Carl F.;False;Graphik;;;;1821;1851
806;Fromm, F. L. von;False;Text;;;;e. 1825;
807;Frommel, Carl Ludwig;False;Graphik;;;;1789;1863
808;Frosch, Carl;False;Graphik;;;;1771;e. 1827
809;Fues, Christian Friedrich;False;Graphik;;;;1772;1836
810;Füger, Friedrich Heinrich;False;Graphik;;;;1751;1818
811;Führich, Joseph von;False;Graphik;;;;1800;1876
812;Funcke, Johann Heinrich;False;Graphik;;;;e. 1818, 1821;1830
813;Funk, Gottfried Benedict;False;Text;;;;1734;1814
814;Funke, Carl;False;Graphik;;;;e. 1826;1832
815;Furini, Francesco;False;Graphik;;;;um 1600;1646
816;Fürstenberg, Solly;False;Graphik;;;;1810;18?
817;Füßli, Heinrich;False;Graphik;;;;1741;1825
818;Füßli, Heinrich (der Jüngste);False;Graphik;;;;1755;1829
819;Füßli, Johann Heinrich;False;Text;;;;1745;1832
820;Fyt, Jan;False;Graphik;;;;1611;1661
821;Gaal, Georg von;False;Text;;;;1783;1855
822;Gabler, Ambrosius;False;Graphik;;;;1762;1834
823;Gaheis, Franz Anton de Paula;False;Text;;;;1763;1809
824;Gail, Joseph;False;Graphik;;;;e. 1796;1812
825;Gallait, Louis;False;Graphik;;;;1810;1887
826;Gallisch, Friedrich Andreas;False;Text;;;;1754;1783
827;Ganz, Philipp;False;Graphik;;;;1746;
828;Gareis, Franz Peter Paul;False;Graphik;;;;1775;1803
829;Gärtner, Eduard;False;Graphik;;;;1801;1877
830;Gassen, Gottlieb;False;Graphik;;;;1805;1878
831;Gaudy, Franz von;False;Text;;;;1800;1840
832;Gauermann, Friedrich;False;Graphik;;;;1807;1862
833;Gauermann, Jacob;False;Graphik;;;;1773;1843
834;Gaugain, Philipp A.;False;Graphik;;;;e. 1808;1842
835;Gauß, Karl Friedrich;False;Text;;;;1777;1855
836;Gaye, Johann Wilhelm;False;Text;;;;1804;1840
837;Gayette-Georgens, Jeanne Marie von;False;Graphik;Jeanne-Marie;;;1817;1895
838;Gebauer, August;False;Text;;;;1792;1852
839;Gebauer, Ernst;False;Graphik;;;;1782;1865
840;Gebhard, Franz Xaver;False;Graphik;;;;1775;18?
841;Geckert, Franz Peter;False;Text;;;;1771;>1838
842;Geib, Karl;False;Text;;;;1777;1852
843;Geibel, Emanuel;False;Text;;;;1815;1884
844;Geiger, Andreas;False;Graphik;;;;1765;1856
845;Geiger, Peter Johann Nepomuk;False;Graphik;;;;1805;1880
846;Geisler, Adam Friedrich;False;Text;;;;1757;ca. 1800
847;Geißler, Christian Gottfried Heinrich;False;Graphik;;;;1770;1844
848;Geißler, Friedrich;False;Graphik;;;;1778;1853
849;Geißler, Peter Carl;False;Graphik;;;;1802;1872
850;Gelinek, Joseph;False;Musik;;;;1758;1825
851;Gellée, Claude. gen. Claude Lorrain;False;Graphik;;;;1600;1682
852;Gellert, Christian Fürchtegott;False;Text;;;;1715;1769
853;Gelpke, August Heinrich Christian;False;Text;;;;1769;1842
854;Gemmingen, Eberhard Friedrich von;False;Text;;;;1726;1791
855;Genée, Johann Friedrich;False;Text;;;;1795 (1796?);1856
856;Genelli, Bonaventura;False;Graphik;;;;1798;1868
857;Genersich, Christian;False;Text;;;;1756;1826
858;Genlis, Felicité Stephanie de;False;Text;;;;1746;1830
859;Gensicke, Wilhelmine;False;Text;Wilhelmine Willmar;;;1779;1822
860;Genth, Wilhelm;False;Text;;;;1803;1844
861;Gentileschi, Orazio;False;Graphik;;;;1562;1647
862;Gentz, Friedrich von;False;Text;;;;1764;1832
863;George, Sophie;False;Text;Sophie;;;1788;1850
864;Gérard, Francois;False;Graphik;;;;1770;1837
865;Gerhard, Wilhelm;False;Text;;;;1780;1858
866;Gerhardt, Carl Georg;False;Graphik;;;;1810;
867;Gerhardt, Markus Rudolph Balthasar;False;Hrsg u. Text;;;;1735;1805
868;Gericke, Johann Ernst;False;Graphik;;;;e. 1744;1769
869;Gerlach, Johann Heinrich Samuel;False;Hrsg u. Text;Syllvester;;;1772;1809
870;Gerle, Wolfgang Adolf;False;Text;;;;1781;1846
871;Germar, Ludwig von;False;Text;;;;o. A.;
872;Gerning, Johann Isaac von;False;Text;;;;1767;1837
873;Gerstäcker, Friedrich;False;Text;;;;1816;1872
874;Gerstenberg, Heinrich Wilhelm von;False;Text;;;;1737;1823
875;Gerstner, Joseph;False;Graphik;;;;1768;1813
876;Geßner, Conrad;False;Graphik;;;;1764;1826
877;Geßner, Johann Georg;False;Text;;;;1765;1843
878;Geßner, Salomon;False;Text;;;;1730;1788
879;Gestewitz, Friedrich Christoph;False;Musik;;;;1753;1805
